base_yr_qtr_cd,adm_cd,adm_nm,svc_induty_cd,svc_induty_nm,tot_sales_amt,tot_selng_co,mdwk_sales_amt,wkend_sales_amt,mon_sales_amt,tue_sales_amt,wed_sales_amt,thu_sales_amt,fri_sales_amt,sat_sales_amt,sun_sales_amt,tm00_06_sales_amt,tm06_11_sales_amt,tm11_14_sales_amt,tm14_17_sales_amt,tm17_21_sales_amt,tm21_24_sales_amt,ml_sales_amt,fml_sales_amt,age10_amt,age20_amt,age30_amt,age40_amt,age50_amt,age60_amt
20254,11650510,서초1동,CS300007,육류판매,263119066.0,7617.0,208972239.0,54146827.0,31017308.0,32607009.0,58719116.0,44829299.0,41799507.0,30318501.0,23828326.0,0.0,14448972.0,54977875.0,88678312.0,104335477.0,678430.0,101585743.0,158940675.0,0.0,5807795.0,26722195.0,56679739.0,60089249.0,111227439.0
20254,11650510,서초1동,CS300010,반찬가게,836299018.0,288578.0,836299018.0,0.0,237497078.0,101881492.0,190509683.0,107593822.0,198816943.0,0.0,0.0,0.0,332185911.0,295073183.0,209039924.0,0.0,0.0,392583350.0,443715668.0,0.0,51097487.0,604270451.0,144619471.0,29902654.0,6408955.0
20254,11650510,서초1동,CS300011,일반의류,429174224.0,1606.0,293787847.0,135386377.0,48203110.0,45162053.0,62791947.0,86749766.0,50880971.0,81930286.0,53456091.0,0.0,3325485.0,67692457.0,246458311.0,111697971.0,0.0,179437862.0,225411050.0,0.0,0.0,68321047.0,42418409.0,132979905.0,161129551.0
20254,11650510,서초1동,CS300018,의약품,1763753695.0,114636.0,1542273238.0,221480457.0,353894395.0,282544174.0,283116242.0,283197373.0,339521054.0,203628046.0,17852411.0,7064305.0,261168899.0,617515905.0,515522045.0,344364875.0,18117666.0,839252351.0,913959041.0,4578930.0,160290690.0,322749185.0,334208819.0,408415855.0,522967911.0
20254,11650510,서초1동,CS300019,의료기기,80485238.0,2012.0,45991564.0,34493674.0,11497891.0,0.0,11497891.0,0.0,22995782.0,34493674.0,0.0,0.0,0.0,80485238.0,0.0,0.0,0.0,11497891.0,68987347.0,0.0,0.0,45991565.0,11497891.0,0.0,22995782.0
20254,11650510,서초1동,CS300020,서적,123430778.0,10246.0,123430778.0,0.0,12739518.0,63073975.0,24053633.0,11893185.0,11670467.0,0.0,0.0,0.0,34677322.0,83987273.0,4766183.0,0.0,0.0,41269476.0,61582081.0,0.0,1960595.0,0.0,44387008.0,20078184.0,36425770.0
20254,11650510,서초1동,CS300021,문구,2113757096.0,119593.0,2003253941.0,110503155.0,338921820.0,370160297.0,375508038.0,473209255.0,445454531.0,110503155.0,0.0,0.0,107880931.0,872431660.0,833067462.0,300377043.0,0.0,481104532.0,326456790.0,2464726.0,91372499.0,84828970.0,102393910.0,316572479.0,209928738.0
20254,11650510,서초1동,CS300022,화장품,2689333482.0,5797.0,2531712108.0,157621374.0,569884730.0,587539066.0,369683315.0,364197827.0,640407170.0,157621374.0,0.0,4656410.0,667824264.0,623971903.0,784213547.0,514610984.0,94056374.0,160625427.0,2528708055.0,0.0,157611664.0,277996772.0,540911781.0,1315500037.0,397313228.0
20254,11650510,서초1동,CS300024,운동/경기용품,2064000000.0,1032.0,1980124303.0,83875697.0,1224138630.0,55267267.0,476886322.0,0.0,223832084.0,83875697.0,0.0,0.0,258258258.0,516795805.0,1288945937.0,0.0,0.0,1162783824.0,362438168.0,0.0,0.0,258258258.0,307707781.0,946537547.0,12718406.0
20254,11650510,서초1동,CS300025,자전거 및 기타운송장비,449658852.0,901.0,111257658.0,338401194.0,0.0,0.0,2500633.0,9387620.0,99369405.0,213722108.0,124679086.0,0.0,0.0,108039631.0,322663605.0,18873628.0,81988.0,443964789.0,5694063.0,0.0,93814720.0,33936115.0,249387855.0,65918317.0,6601845.0
